datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),RH,AH,T
11-03-2004 12:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,66.8,0.7951,9.5
11-03-2004 13:00,1.9,1286,63,7.3,869,146,1162,112,1537,799,76.4,0.8393,8.3
11-03-2004 14:00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,81.1,0.8736,8
11-03-2004 15:00,2.2,1310,79,8.8,933,184,1082,126,1647,946,79.8,0.8778,8.3
11-03-2004 16:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,71.2,0.8569,9.7
11-03-2004 17:00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,67.6,0.8185,9.8
11-03-2004 18:00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,64.2,0.8065,10.3
11-03-2004 19:00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,69.3,0.8319,9.7
11-03-2004 20:00,6.1,1640,401,24,1404,351,743,165,2191,1654,67.8,0.8133,9.6
11-03-2004 21:00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,64,0.7419,9.1
11-03-2004 22:00,1.5,965,61,4.7,749,94,1325,85,1333,821,63.4,0.6905,8.2
11-03-2004 23:00,1,913,26,2.6,629,47,1565,53,1252,552,60.8,0.6657,8.2
12-03-2004 00:00,1.7,1080,55,5.9,805,122,1254,97,1375,816,58.5,0.6438,8.3
12-03-2004 01:00,1.9,1044,53,6.4,829,133,1247,110,1378,832,59.7,0.6308,7.7
12-03-2004 02:00,1.4,988,40,4.1,718,82,1396,91,1304,692,61.8,0.6276,7.1
12-03-2004 03:00,0.8,889,21,1.9,574,82,1680,91,1187,512,62.3,0.6261,7
12-03-2004 04:00,0.8,831,10,1.1,506,21,1893,32,1134,384,65.9,0.6248,6.1
12-03-2004 05:00,0.6,847,7,1,501,30,1895,44,1155,394,65,0.6233,6.3
12-03-2004 06:00,0.8,927,17,1.8,571,56,1685,71,1223,487,62.9,0.6234,6.8
12-03-2004 07:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,65.1,0.6316,6.4
12-03-2004 08:00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,63.1,0.6499,7.3
12-03-2004 09:00,4.4,1545,202,22.1,1353,307,767,141,2058,1588,56.2,0.6561,9.2
12-03-2004 10:00,3.1,1350,208,14,1118,187,912,122,1712,1237,41.7,0.632,13.2
12-03-2004 11:00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,38.4,0.6243,14.3
12-03-2004 12:00,2.1,1206,114,10.2,986,143,1035,113,1537,959,36.5,0.6195,15
12-03-2004 13:00,2.5,1252,140,11,1016,160,1008,116,1593,983,34.5,0.6262,16.1
12-03-2004 14:00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,35.7,0.656,16.3
12-03-2004 15:00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,37,0.661,15.8
12-03-2004 16:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,37.2,0.6657,15.9
12-03-2004 17:00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,34.3,0.6549,16.9
12-03-2004 18:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,39.6,0.6766,15.1
12-03-2004 19:00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,43.4,0.7084,14.4
12-03-2004 20:00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,50.5,0.7478,12.9
12-03-2004 21:00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,53.3,0.7536,12.1
12-03-2004 22:00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,59.1,0.774,11
12-03-2004 23:00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,64.6,0.7771,9.7
13-03-2004 00:00,2.7,1280,122,9.6,964,193,963,113,1544,1285,64.1,0.7597,9.5
13-03-2004 01:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,63.9,0.7423,9.1
13-03-2004 02:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,63.9,0.7256,8.8
13-03-2004 03:00,1.7,1172,46,5.4,783,83,1179,82,1380,996,67.5,0.7173,7.8
13-03-2004 04:00,1.7,1147,56,6.2,821,109,1132,83,1412,992,71.1,0.7158,7
13-03-2004 05:00,1,978,30,2.6,625,62,1420,65,1274,819,63.6,0.6982,8.3
13-03-2004 06:00,1.2,1100,27,2.9,646,53,1406,60,1268,835,67.5,0.6887,7.2
13-03-2004 07:00,1.5,1112,47,5.1,770,139,1228,77,1409,940,71.9,0.6932,6.3
13-03-2004 08:00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,71.6,0.6945,6.5
13-03-2004 09:00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,59.7,0.7124,9.6
13-03-2004 10:00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,51.2,0.7335,12.4
13-03-2004 11:00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,42.2,0.7451,15.6
13-03-2004 12:00,3.6,1451,210,14,1117,239,875,161,1679,1387,33.8,0.709,18.4
13-03-2004 13:00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,31.3,0.695,19.4
13-03-2004 14:00,2,1207,112,8.6,924,118,1088,102,1488,850,34.8,0.7127,18
13-03-2004 15:00,2,1240,108,9.2,947,119,1049,116,1532,947,33.6,0.7042,18.4
13-03-2004 16:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,35.1,0.7012,17.6
13-03-2004 17:00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,37.8,0.7117,16.7
13-03-2004 18:00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,41,0.7451,16.1
13-03-2004 19:00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,42.4,0.7569,15.8
13-03-2004 20:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,44.1,0.7786,15.7
13-03-2004 21:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,46.8,0.8091,15.3
13-03-2004 22:00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,48.6,0.806,14.6
13-03-2004 23:00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,49.3,0.8193,14.7
14-03-2004 00:00,2.9,1534,93,11,1013,190,889,129,1611,1535,53.6,0.8498,13.9
14-03-2004 01:00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,51.5,0.8536,14.6
14-03-2004 02:00,2.5,1367,92,8.6,925,128,953,104,1543,1337,58.9,0.8537,12.5
14-03-2004 03:00,2.4,1344,132,9.7,968,128,921,104,1620,1278,63.4,0.8674,11.6
14-03-2004 04:00,2.4,1130,56,5.2,773,70,1130,82,1452,1051,61.1,0.8603,12.1
14-03-2004 05:00,1.2,1062,32,3.7,691,53,1272,70,1377,929,63.1,0.8533,11.5
14-03-2004 06:00,1,1076,29,2.5,618,44,1395,63,1333,872,62.2,0.8473,11.6
14-03-2004 07:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,67.6,0.853,10.4
14-03-2004 08:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,62.7,0.853,11.6
14-03-2004 09:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,60,0.8627,12.4
14-03-2004 10:00,2.2,1332,129,8.6,923,144,952,98,1614,1225,53.1,0.8728,14.5
14-03-2004 11:00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,46.1,0.8789,16.9
14-03-2004 12:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,38.3,0.8474,19.3
14-03-2004 13:00,2,1281,93,7.5,880,113,1084,104,1525,980,31.4,0.7812,21.2
14-03-2004 14:00,1.8,1207,84,7.5,879,103,1104,102,1490,872,30.2,0.7616,21.4
14-03-2004 15:00,1.9,1258,99,8.2,906,112,1081,107,1511,900,29,0.7525,21.9
14-03-2004 16:00,3,1458,150,11.9,1045,170,974,129,1646,1099,28.4,0.7516,22.2
14-03-2004 17:00,2.9,1438,156,12,1051,180,943,128,1668,1206,30.8,0.7696,21.3
14-03-2004 18:00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,36.7,0.8307,19.7
14-03-2004 19:00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,41.7,0.8732,18.4
14-03-2004 20:00,5.9,1898,341,23.1,1381,325,681,173,2103,1905,46.1,0.921,17.6
14-03-2004 21:00,3.4,1560,214,14.7,1140,217,784,146,1818,1648,49.6,0.932,16.7
14-03-2004 22:00,2.1,1324,100,9,940,146,924,121,1587,1423,51,0.9341,16.3
14-03-2004 23:00,2.2,1349,79,8.8,933,152,933,119,1617,1349,55.9,0.9314,14.7
15-03-2004 00:00,1.8,1239,66,7.4,872,104,985,99,1547,1250,54.7,0.9164,14.8
15-03-2004 01:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,57,0.9094,14
15-03-2004 02:00,1.8,1224,66,7,855,108,998,88,1566,1149,61.3,0.9361,13.4
15-03-2004 03:00,1.1,1078,44,4.4,734,108,1128,88,1487,1021,63.5,0.923,12.6
15-03-2004 04:00,1.1,1078,44,4,711,66,1150,71,1468,1013,65.4,0.9351,12.3
15-03-2004 05:00,1,1075,39,3.9,703,88,1156,74,1464,1010,67.4,0.9375,11.9
15-03-2004 06:00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,70.5,0.9475,11.4
15-03-2004 07:00,2.2,1314,107,9.7,966,228,897,89,1710,1235,70.2,0.9401,11.3
15-03-2004 08:00,5.5,1797,336,25.9,1451,360,652,114,2323,1680,63.9,0.917,12.4
15-03-2004 09:00,8.1,1961,618,36.7,1701,478,537,149,2665,2184,54.3,0.9076,14.8
15-03-2004 10:00,5.8,1771,438,26.6,1470,394,622,157,2262,1973,45.6,0.8993,17.4
15-03-2004 11:00,4.2,1564,334,20.1,1300,319,710,155,2029,1798,38.5,0.8801,19.8
15-03-2004 12:00,3.1,1430,221,14.1,1120,201,831,134,1783,1522,34.1,0.8904,22
15-03-2004 13:00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,32.2,0.9096,23.3
15-03-2004 14:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,30,0.8757,23.9
15-03-2004 15:00,2.5,1317,185,12.1,1053,153,926,104,1707,1137,28.9,0.8736,24.4
15-03-2004 16:00,2.3,1318,141,11.5,1033,143,950,99,1675,1068,29.4,0.8848,24.4
15-03-2004 17:00,2.8,1445,214,14.8,1141,156,857,110,1824,1252,31.3,0.9137,23.8
15-03-2004 18:00,6.1,1917,471,32.1,1601,314,631,162,2447,1843,35.4,0.9547,22.5
15-03-2004 19:00,8,2040,685,39.2,1754,404,542,187,2679,2122,42.5,1.0086,20.4
15-03-2004 20:00,6.5,1895,538,31,1573,320,565,165,2443,1992,52.6,1.0945,18.3
15-03-2004 21:00,4.2,1595,319,19.9,1294,256,678,145,2058,1707,57.4,1.0786,16.7
15-03-2004 22:00,3.2,1439,224,15.3,1159,193,764,125,1856,1494,60.2,1.0654,15.7
15-03-2004 23:00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,61.4,1.058,15.3
16-03-2004 00:00,2.1,1304,155,11.1,1019,127,852,103,1731,1272,65.7,1.0494,14.1
16-03-2004 01:00,1.2,1074,49,5.4,784,79,1098,88,1483,1040,60.6,1.0148,14.8
16-03-2004 02:00,0.8,968,29,2.8,640,43,1320,61,1386,867,59.2,0.9879,14.8
16-03-2004 03:00,0.7,929,25,2.3,608,43,1376,61,1364,826,62.1,0.9636,13.6
16-03-2004 04:00,0.7,941,25,2.6,626,59,1316,59,1373,840,66.2,0.945,12.3
16-03-2004 05:00,0.6,937,17,2,585,38,1412,52,1348,793,63.2,0.9283,12.8
16-03-2004 06:00,0.9,1017,27,3.5,681,82,1246,64,1418,870,68.5,0.9081,11.2
16-03-2004 07:00,1.3,1171,50,5.1,770,99,1162,70,1467,930,66.5,0.8705,11
16-03-2004 08:00,3.4,1541,218,16.2,1185,263,770,97,1889,1407,63.7,0.8719,11.7
16-03-2004 09:00,3.7,1539,285,19.7,1287,229,698,95,2055,1507,56.3,0.8743,13.6
16-03-2004 10:00,5.3,1735,437,25.1,1431,396,628,150,2211,1843,42.9,0.8672,17.8
16-03-2004 11:00,4.1,1571,327,20,1297,314,730,162,1973,1729,33.3,0.8417,21.4
16-03-2004 12:00,3.3,1452,283,18.3,1250,217,776,154,1868,1583,27.4,0.8231,24.4
16-03-2004 13:00,4,1579,366,22.3,1359,252,724,161,1998,1671,26.1,0.8264,25.3
16-03-2004 14:00,3.8,1466,318,20.4,1309,263,773,161,1897,1491,23.2,0.7589,25.8
16-03-2004 15:00,2.8,1280,228,14.6,1136,180,893,128,1675,1240,20.2,0.7094,27
16-03-2004 16:00,2.9,1407,201,16.6,1197,184,905,129,1759,1313,18.6,0.7014,28.2
16-03-2004 17:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,19.1,0.7098,28
16-03-2004 18:00,3.4,1447,237,17.8,1235,184,859,139,1778,1296,25.7,0.7519,23.9
16-03-2004 19:00,3.9,1551,261,19.1,1271,181,800,137,1875,1432,34.8,0.873,21.3
16-03-2004 20:00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,36.7,0.8704,20.4
16-03-2004 21:00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,41.3,0.9007,19
16-03-2004 22:00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,45.9,0.9342,17.9
16-03-2004 23:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,48.9,0.9226,16.7
17-03-2004 00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,52.9,0.9271,15.5
17-03-2004 01:00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,51.9,0.9059,15.5
17-03-2004 02:00,0.9,998,34,4.1,714,70,1169,79,1383,992,55.6,0.891,14.1
17-03-2004 03:00,0.7,933,26,2.6,625,70,1292,79,1332,884,57.9,0.8666,13.1
17-03-2004 04:00,0.7,883,17,1.9,577,54,1396,60,1303,808,57.9,0.8447,12.7
17-03-2004 05:00,0.5,869,11,1.6,554,28,1460,40,1268,667,58,0.8026,11.8
17-03-2004 06:00,0.5,891,18,1.9,576,46,1417,53,1289,733,57.4,0.7978,11.9
17-03-2004 07:00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,65.2,0.7956,9.9
17-03-2004 08:00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,60.2,0.7958,11.1
17-03-2004 09:00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,50,0.802,14.1
17-03-2004 10:00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,40.1,0.8048,17.7
17-03-2004 11:00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,33.4,0.8265,21.1
17-03-2004 12:00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,28.3,0.8471,24.3
17-03-2004 13:00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,0.8254,25.6
17-03-2004 14:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,0.8503,25.9
17-03-2004 15:00,2,1207,103,10.4,994,135,1013,104,1520,1045,18.7,0.65,26.8
17-03-2004 16:00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,15.8,0.6309,29.3
17-03-2004 17:00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,14.9,0.5708,28.5
17-03-2004 18:00,5,1557,386,27,1478,299,793,158,1981,1569,16,0.5237,25.9
17-03-2004 19:00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,26.5,0.7403,23.1
17-03-2004 20:00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,38.2,0.9133,20.5
17-03-2004 21:00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,42.6,0.9294,19.1
17-03-2004 22:00,2.8,1444,206,15,1150,202,770,136,1727,1727,44.1,0.8558,17.2
17-03-2004 23:00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,50.9,0.9206,16
18-03-2004 00:00,2.3,1371,159,13,1083,154,796,116,1669,1551,53.9,0.9024,14.8
18-03-2004 01:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,55.4,0.8975,14.3
18-03-2004 02:00,1,1064,44,5.5,787,61,1057,88,1407,1115,52.1,0.8686,14.8
18-03-2004 03:00,0.7,970,42,3.6,687,61,1196,88,1351,969,53.9,0.8501,13.9
18-03-2004 04:00,0.7,954,28,2.9,645,60,1260,78,1334,925,61.9,0.8442,11.6
18-03-2004 05:00,0.6,931,20,2.5,623,37,1293,57,1307,828,58.9,0.8233,12
18-03-2004 06:00,0.7,938,26,3,650,68,1251,71,1333,893,62.1,0.8113,10.9
18-03-2004 07:00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,63.3,0.8067,10.6
18-03-2004 08:00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,60,0.8117,11.5
18-03-2004 09:00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,50.6,0.8186,14.3
18-03-2004 10:00,4.5,1617,506,21.3,1333,349,686,150,2010,1819,40.5,0.821,17.8
18-03-2004 11:00,2.8,1473,506,14.3,1127,224,831,152,1752,1568,34.4,0.8365,20.8
18-03-2004 12:00,2.2,1379,506,12.5,1068,171,899,139,1663,1374,28.2,0.8219,23.8
18-03-2004 13:00,2.2,1385,506,12.2,1056,149,891,133,1648,1268,28.7,0.8515,24.2
18-03-2004 14:00,2.3,1379,506,13.1,1087,137,901,126,1660,1144,24.9,0.7829,25.2
18-03-2004 15:00,2.2,1322,506,14.4,1129,149,934,128,1639,1109,17.8,0.6275,27
18-03-2004 16:00,2.8,1496,506,16.8,1205,172,822,169,1767,1347,23.1,0.818,27.1
18-03-2004 17:00,2.7,1409,506,14.5,1131,166,873,149,1689,1206,23.9,0.7832,25.8
18-03-2004 18:00,3.7,1513,506,21.5,1338,214,764,156,1957,1397,26.8,0.7446,23
18-03-2004 19:00,5.1,1667,506,26.4,1464,280,683,168,2118,1588,31.1,0.7523,20.7
18-03-2004 20:00,5.1,1667,506,26,1453,276,684,176,2051,1569,36.2,0.7676,18.6
18-03-2004 21:00,3.2,1430,506,14.1,1121,178,814,135,1732,1322,48.4,0.8768,16
18-03-2004 22:00,2.1,1333,506,10.3,989,129,885,121,1621,1194,57.8,0.9456,14.5
18-03-2004 23:00,1.7,1262,506,8.3,911,95,948,99,1545,1062,64.2,0.9606,13.1
19-03-2004 00:00,2,1287,506,8.9,936,126,918,106,1606,1040,69.7,0.9735,12
19-03-2004 01:00,1.6,1134,506,6.6,840,103,1021,96,1501,917,71.1,0.9915,11.9
19-03-2004 02:00,0.9,999,506,3.6,688,48,1229,63,1380,594,69.3,1.0029,12.5
19-03-2004 03:00,0.7,961,506,2.5,622,48,1382,63,1301,430,67.5,0.9768,12.5
19-03-2004 04:00,0.7,934,506,1.8,569,20,1440,32,1280,397,67.7,0.9665,12.3
19-03-2004 05:00,0.5,913,506,1.3,525,18,1620,28,1260,370,66.8,0.962,12.5
19-03-2004 06:00,0.7,969,506,2.3,607,56,1373,61,1324,438,66.3,0.9487,12.3
19-03-2004 07:00,1.5,1182,506,6.7,845,115,1054,99,1539,704,64.9,0.9332,12.4
19-03-2004 08:00,4.8,1740,506,22.8,1372,320,671,157,2144,1476,61.6,0.9209,13
19-03-2004 09:00,6.2,1819,506,31.3,1582,357,575,166,2456,1716,58.8,0.912,13.6
19-03-2004 10:00,4,1427,506,19.2,1275,253,701,149,1980,1398,57.1,0.9032,13.9
19-03-2004 11:00,3.3,1390,506,16.4,1191,218,759,135,1879,1268,54.4,0.8917,14.5
19-03-2004 12:00,2.8,1283,506,14,1117,192,813,127,1751,1188,50.1,0.8744,15.5
19-03-2004 13:00,3,1304,506,15.3,1157,176,793,122,1801,1171,47.6,0.8655,16.1
19-03-2004 14:00,3.3,1364,506,16.7,1202,198,771,135,1875,1250,47.1,0.864,16.3
19-03-2004 15:00,3.5,1410,506,19,1268,212,724,139,1957,1344,47.5,0.8791,16.4
19-03-2004 16:00,4,1476,506,19.4,1280,249,708,147,1955,1378,50.2,0.9094,16.1
19-03-2004 17:00,4.6,1522,506,20.9,1320,270,690,158,2005,1435,50.7,0.9142,16
19-03-2004 18:00,4.1,1442,506,20.2,1301,231,704,146,1952,1372,50.3,0.8989,15.8
19-03-2004 19:00,4.5,1469,506,21.7,1344,251,677,144,1997,1471,50.6,0.884,15.5
19-03-2004 20:00,3.9,1467,506,19.8,1292,210,698,138,1942,1439,51.4,0.8956,15.4
19-03-2004 21:00,4,1421,506,16.7,1202,249,748,143,1854,1429,53.1,0.9117,15.2
19-03-2004 22:00,2.2,1175,506,9.1,945,143,904,116,1604,1081,57.6,0.9573,14.7
19-03-2004 23:00,2.1,1215,506,8.3,912,127,948,109,1547,993,58.3,0.938,14.2
20-03-2004 00:00,1.7,1127,506,5.8,802,104,1064,92,1447,837,57.9,0.9085,13.8
20-03-2004 01:00,1.6,1090,506,5.2,773,86,1105,83,1429,761,55.9,0.8842,13.9
20-03-2004 02:00,1.3,1017,506,4.1,718,74,1182,81,1382,650,55.6,0.8765,13.9
20-03-2004 03:00,1.3,997,506,3.4,677,74,1252,81,1359,591,55.1,0.8666,13.8
20-03-2004 04:00,1.3,945,506,2.9,646,44,1308,55,1332,505,54.6,0.8574,13.8
20-03-2004 05:00,0.8,956,506,3.1,661,42,1260,53,1351,518,55.1,0.856,13.6
20-03-2004 06:00,0.8,966,506,2.5,622,63,1317,67,1342,571,59,0.9129,13.6
20-03-2004 07:00,1.1,1064,506,4.3,728,115,1161,91,1461,842,58.4,0.896,13.5
20-03-2004 08:00,2.1,1300,506,8.9,935,170,902,113,1623,1145,58,0.9083,13.8
20-03-2004 09:00,2.4,1348,506,10.5,998,147,834,102,1689,1218,53.1,0.8765,14.6
20-03-2004 10:00,2.6,1425,506,12.5,1068,166,776,107,1764,1341,52.3,0.8881,15
20-03-2004 11:00,2.8,1474,506,12.3,1061,195,768,113,1768,1406,52.1,0.9046,15.4
20-03-2004 12:00,2.6,1490,506,11.7,1039,182,782,108,1757,1422,50,0.9158,16.3
20-03-2004 13:00,2.6,1495,506,11.7,1040,168,809,105,1735,1373,47.9,0.9281,17.1
20-03-2004 14:00,2.1,1376,506,9.3,953,125,900,93,1636,1153,42.9,0.937,19
20-03-2004 15:00,1.7,1305,506,7.6,884,95,980,87,1573,927,42.3,0.9476,19.5
20-03-2004 16:00,1.6,1283,506,6.7,844,79,1036,76,1539,766,42.3,0.9493,19.5
20-03-2004 17:00,2.1,1392,506,9.7,967,119,930,94,1649,941,43.8,0.9556,19.1
20-03-2004 18:00,2.3,1452,506,12.4,1063,142,856,110,1774,1146,46.3,0.9744,18.5
20-03-2004 19:00,3.5,1633,506,16.6,1199,215,734,136,1919,1417,51.6,1.0159,17.4
20-03-2004 20:00,3.9,1625,506,16.4,1191,229,733,139,1885,1442,51.3,0.9914,17.1
20-03-2004 21:00,3.3,1535,506,13.7,1108,206,785,125,1820,1323,53.8,0.9964,16.4
20-03-2004 22:00,2.3,1323,506,9.9,973,147,864,111,1712,1125,55.4,1.0132,16.2
20-03-2004 23:00,2.1,1309,506,8.9,937,122,905,97,1672,1036,57.7,1.0356,15.9
21-03-2004 00:00,2.8,1456,506,10.6,999,175,835,107,1714,1202,58.6,1.0396,15.7
21-03-2004 01:00,2.1,1300,506,7.4,872,133,941,90,1577,1054,60.9,1.0398,15.1
21-03-2004 02:00,1.6,1203,506,6.2,823,89,1004,84,1526,903,56.6,0.9951,15.6
21-03-2004 03:00,1.6,1195,506,6.5,836,89,987,84,1554,885,57.9,0.9941,15.2
21-03-2004 04:00,1.6,1117,506,5.8,802,85,1029,87,1539,818,57.8,1.0021,15.4
21-03-2004 05:00,1.1,1062,506,4,711,55,1136,66,1461,700,60.6,1.0196,14.9
21-03-2004 06:00,0.7,947,506,2.1,594,24,1300,36,1390,580,63,1.0316,14.5
21-03-2004 07:00,0.8,1065,506,3.6,687,72,1143,62,1492,815,66.2,1.063,14.2
21-03-2004 08:00,1.2,1155,506,4.4,734,122,1062,91,1528,1035,65.3,1.0704,14.5
21-03-2004 09:00,1.4,1220,506,5.4,782,111,996,89,1560,1067,62.1,1.073,15.3
21-03-2004 10:00,1.7,1301,506,7.1,862,123,914,93,1633,1114,59,1.0868,16.3
21-03-2004 11:00,1.8,1279,506,7.3,870,106,911,81,1646,1000,49.6,1.07,18.9
21-03-2004 12:00,1.8,1267,506,7.6,883,103,953,82,1617,906,46.1,1.0249,19.4
21-03-2004 13:00,1.9,1239,506,6.8,848,102,981,80,1568,822,41.6,1.0091,20.8
21-03-2004 14:00,1.3,1128,506,4.6,742,48,1144,48,1507,610,40.3,1.0126,21.4
21-03-2004 15:00,1.6,1243,506,8.4,916,63,962,61,1669,657,39.3,0.9791,21.2
21-03-2004 16:00,1.9,1208,506,6.9,853,98,1060,89,1506,647,38,0.8942,20.3
21-03-2004 17:00,2.3,1306,506,9,938,132,961,105,1607,762,41.3,0.9206,19.4
21-03-2004 18:00,3.8,1546,506,15.1,1151,173,769,116,1874,1122,43.8,0.9252,18.5
21-03-2004 19:00,3.5,1501,506,12.6,1071,185,823,119,1744,1130,48.1,0.9689,17.8
21-03-2004 20:00,4.3,1605,506,15.1,1153,266,769,144,1840,1637,46.9,0.952,17.9
21-03-2004 21:00,2.8,1316,506,9.9,974,188,883,123,1673,1272,49.1,0.9688,17.4
21-03-2004 22:00,1.9,1195,506,8,898,122,933,105,1594,1098,51.7,0.9914,17
21-03-2004 23:00,1.9,1211,506,7.9,896,112,920,93,1624,1066,55.1,1.0198,16.4
22-03-2004 00:00,1.7,1161,506,6.1,815,93,995,86,1582,909,60,1.0919,16.1
22-03-2004 01:00,1.5,1095,506,5.1,767,74,1050,76,1547,818,60.5,1.0805,15.8
